product_name,department_name,price,stock_quantity
Ford Mustang Folding Dual Panel Windshield Sun Shade,Automotive,29.95,120
PureSpa Essential Oil Diffuser,Beauty & Personal Care,29.99,300
Portrait of Jennie,Movies & TV,12.84,5
Love Letters,Movies & TV,16.59,14
ArtNaturals Aromatherapy Top 8 Essential Oils,Beauty & Personal Care,15.95,224
Samsung Electronics 4K Ultra 50-Inch,Electronics,478.87,98
BedShelfie The Original Bedside Shelf,Home & Kitchen,44.99,200
Rapid PRO Mechanical Pencil,Office Products,31.9,350
USB Type C Mini Fan,Electronics,5.99,457
AOLIGE Squishies Slow Rising Jumbo Kawaii Cute Colored Unicorn,Toys & Games,7.88,245
"Sinofun 4.7"" Big Eyes Dog Squishy Toys Slow Rising",Toys & Games,7.99,335
AOLIGE Squishies Slow Rising Jumbo Kawaii Cute Glasses Bear,Toys & Games,8.88,346
